Agency,SKU,Volume
Agency_01,SKU_01,28.40911674
Agency_01,SKU_02,19.61174488
Agency_01,SKU_03,13.84186554
Agency_01,SKU_04,84.45833206
Agency_01,SKU_05,14.62627649
Agency_01,SKU_11,18.86465836
Agency_02,SKU_01,4025.41626
Agency_02,SKU_02,3698.070068
Agency_02,SKU_03,13648.62256
Agency_02,SKU_04,1937.110474
Agency_02,SKU_05,980.0582886
Agency_02,SKU_11,9.058703423
Agency_02,SKU_12,15.21156311
Agency_02,SKU_31,9.359390259
Agency_02,SKU_34,39.18583679
Agency_03,SKU_01,814.9564209
Agency_03,SKU_02,276.2185211
Agency_03,SKU_03,7731.356689
Agency_03,SKU_04,839.0338745
Agency_03,SKU_05,544.509552
Agency_03,SKU_32,0.679872036
Agency_04,SKU_01,13.49045324
Agency_04,SKU_02,1.886552989
Agency_04,SKU_03,309.9100494
Agency_04,SKU_04,76.67594719
Agency_04,SKU_05,0.344289392
Agency_05,SKU_01,5850.947021
Agency_05,SKU_02,929.7706604
Agency_05,SKU_03,867.1101379
Agency_05,SKU_04,3474.114624
Agency_05,SKU_05,303.3194733
Agency_05,SKU_14,3.115352243
Agency_05,SKU_21,11.18689556
Agency_05,SKU_23,0.001642475
Agency_05,SKU_26,0.003206983
Agency_07,SKU_01,7899.665283
Agency_07,SKU_02,1087.651367
Agency_07,SKU_03,531.4582825
Agency_07,SKU_04,1394.459778
Agency_07,SKU_05,141.4468803
Agency_07,SKU_21,2.561352491
Agency_08,SKU_01,175.6516647
Agency_08,SKU_02,1.95892626
Agency_08,SKU_03,11.53009844
Agency_08,SKU_04,154.6216736
Agency_08,SKU_05,8.115573883
Agency_09,SKU_01,2018.358032
Agency_09,SKU_02,1111.421936
Agency_09,SKU_03,5977.68457
Agency_09,SKU_04,1100.547363
Agency_09,SKU_05,1112.909729
Agency_09,SKU_21,0.267319083
Agency_09,SKU_27,0.647383109
Agency_10,SKU_01,1420.178406
Agency_10,SKU_02,182.6787033
Agency_10,SKU_03,3295.420776
Agency_10,SKU_04,959.4603882
Agency_10,SKU_05,227.1774292
Agency_10,SKU_21,0.563478529
Agency_10,SKU_23,0
Agency_10,SKU_32,35.99115753
Agency_11,SKU_01,248.9492493
Agency_11,SKU_02,5.913684368
Agency_11,SKU_03,187.1096802
Agency_11,SKU_04,75.65121841
Agency_11,SKU_05,6.339402914
Agency_12,SKU_01,10164.20264
Agency_12,SKU_02,7555.575195
Agency_12,SKU_03,551.3190308
Agency_12,SKU_04,1394.148499
Agency_12,SKU_05,2209.373779
Agency_12,SKU_07,8.330175877
Agency_13,SKU_01,5338.311768
Agency_13,SKU_02,5356.039795
Agency_13,SKU_03,121.5969009
Agency_13,SKU_04,866.666687
Agency_13,SKU_05,1144.882935
Agency_13,SKU_07,7.057148457
Agency_13,SKU_20,9.711674452
Agency_15,SKU_01,1109.321045
Agency_15,SKU_02,692.1155701
Agency_15,SKU_03,42.91567039
Agency_15,SKU_04,144.5497208
Agency_15,SKU_05,148.1688309
Agency_16,SKU_01,6513.510986
Agency_16,SKU_02,5347.830078
Agency_16,SKU_03,96.53211975
Agency_16,SKU_04,452.7443848
Agency_16,SKU_05,1107.939453
Agency_16,SKU_07,11.56153679
Agency_16,SKU_20,1.238459587
Agency_17,SKU_01,129.0316467
Agency_17,SKU_02,1096.87384
Agency_17,SKU_03,35.69370651
Agency_17,SKU_04,292.2907715
Agency_17,SKU_05,765.0756836
Agency_18,SKU_01,3.451088428
Agency_18,SKU_02,80.96676254
Agency_18,SKU_03,19.3032608
Agency_18,SKU_04,180.8434448
Agency_18,SKU_05,369.6552277
Agency_19,SKU_01,33.83570862
Agency_19,SKU_02,42.13981628
Agency_19,SKU_03,39.63337708
Agency_19,SKU_04,80.67789078
Agency_19,SKU_05,90.75593567
Agency_19,SKU_08,0.602524221
Agency_20,SKU_01,2722.266968
Agency_20,SKU_02,9788.444824
Agency_20,SKU_03,216.156189
Agency_20,SKU_04,1524.218994
Agency_20,SKU_05,2532.31311
Agency_20,SKU_07,1.943066776
Agency_20,SKU_21,0.000577862
Agency_20,SKU_23,0.339568406
Agency_21,SKU_01,39.39105225
Agency_21,SKU_02,89.59879684
Agency_21,SKU_03,32.2555418
Agency_21,SKU_04,25.56448078
Agency_21,SKU_05,269.3317184
Agency_21,SKU_21,0.004491866
Agency_22,SKU_01,83.42370987
Agency_22,SKU_02,134.0553894
Agency_22,SKU_03,74.0977211
Agency_22,SKU_04,51.28255653
Agency_22,SKU_05,248.1827698
Agency_23,SKU_01,38.05303955
Agency_23,SKU_02,50.23191261
Agency_23,SKU_03,12.98957491
Agency_23,SKU_04,35.68009758
